,index,x,y
0,000,0.08018148170761888,-0.004237280275769199
1,10,0.07029616973614691,-0.032822718376607156
2,1829,0.055644668580434015,0.038526581553151376
3,1877,0.047126395195397734,-0.02229219643896762
4,1927,0.053329528990009686,0.01682258096760643
5,1982,0.05219758999458935,-0.028248460216802135
6,1983,0.05219758999458935,-0.028248460216802135
7,200,0.053329528990009686,0.01682258096760643
8,2010,0.05219758999458935,-0.028248460216802135
9,2011,0.05219758999458935,-0.028248460216802135
10,2015,0.16803964848101594,-0.08859881695279585
11,2016,0.07274003799133769,0.0024843053236232975
12,25,0.035148084868073456,-0.016411359188303578
13,250,0.03901017249123198,-0.021702375995386547
14,27,0.035148084868073456,-0.016411359188303578
15,29,0.06039069064858378,-0.08266998629079317
16,41,0.06039069064858378,-0.08266998629079317
17,79,0.047126395195397734,-0.02229219643896762
18,81,0.047126395195397734,-0.02229219643896762
19,across,0.05730328242827897,0.08369693082455108
20,africa,0.01910109414275966,0.02789897694151703
21,after,0.035148084868073456,-0.016411359188303578
22,all,0.047126395195397734,-0.02229219643896762
23,along,0.08722905444014745,-0.004749440011496551
24,also,0.05582527203749207,0.23214050154810412
25,although,0.03901017249123198,-0.021702375995386547
26,alton,0.035148084868073456,-0.016411359188303578
27,amateur,0.035148084868073456,-0.016411359188303578
28,america,0.01910109414275966,0.02789897694151703
29,and,0.3313602604117868,-0.07065938584941003
30,announced,0.036643488458623946,0.025153206326613997
31,around,0.03901017249123198,-0.021702375995386547
32,as,0.19144471121565348,-0.13136948339905166
33,at,0.18417601102547881,-0.013536348215920473
34,attendance,0.03901017249123198,-0.021702375995386547
35,australia,0.01910109414275966,0.02789897694151703
36,award,0.035148084868073456,-0.016411359188303578
37,banks,0.03901017249123198,-0.021702375995386547
38,bbc,0.13607890163847977,0.39123523169788765
39,be,0.036643488458623946,0.025153206326613997
40,becoming,0.03901017249123198,-0.021702375995386547
41,between,0.17578270090483,0.04598344471564324
42,blondie,0.035148084868073456,-0.016411359188303578
43,blue,0.05219758999458935,-0.028248460216802135
44,blues,0.08274735924744314,-0.043350646563629185
45,bny,0.08362963142231322,-0.04648833935812517
46,boat,0.1652145047892625,-0.025717234698105867
47,british,0.035148084868073456,-0.016411359188303578
