,index,x,y
0,000,0.5558543521204287,-0.3684677391058412
1,10,0.8917884459281726,1.6400439255559651
2,1829,0.15135919143397786,-0.11226352145321186
3,1877,0.5880121055850275,-0.29589028344654095
4,1927,0.2908206897418281,-0.22530867623985937
5,1982,0.26028889569950237,0.1730872466538951
6,1983,0.26028889569950237,0.1730872466538951
7,200,0.2908206897418281,-0.22530867623985937
8,2010,0.26028889569950237,0.1730872466538951
9,2011,0.26028889569950237,0.1730872466538951
10,2015,1.2118491638236901,-0.5347927011123971
11,2016,0.7678029347944918,-0.5639270582928275
12,25,0.4458942229640863,0.8200219627779826
13,250,0.2650336623786006,-0.14315906286598182
14,27,0.4458942229640863,0.8200219627779826
15,29,0.13227892273384928,0.03248715741147169
16,41,0.13227892273384928,0.03248715741147169
17,79,0.5880121055850275,-0.29589028344654095
18,81,0.5880121055850275,-0.29589028344654095
19,across,0.2732640628454266,-0.40429807477636925
20,africa,0.09108802094847553,-0.13476602492545642
21,after,0.4458942229640863,0.8200219627779826
22,all,0.5880121055850275,-0.29589028344654095
23,along,0.8788327953268555,-0.5211989596864003
24,also,0.10243987243558436,-0.1613610409983193
25,although,0.2650336623786006,-0.14315906286598182
26,alton,0.4458942229640863,0.8200219627779826
27,amateur,0.4458942229640863,0.8200219627779826
28,america,0.09108802094847553,-0.13476602492545642
29,and,5.300078793678428,1.0771134297301912
30,announced,0.17979082920946435,-0.26803677484628663
31,around,0.2650336623786006,-0.14315906286598182
32,as,2.23547190091237,0.005103175173168828
33,at,1.9193240483759153,2.0094485358542293
34,attendance,0.2650336623786006,-0.14315906286598182
35,australia,0.09108802094847553,-0.13476602492545642
36,award,0.4458942229640863,0.8200219627779826
37,banks,0.2650336623786006,-0.14315906286598182
38,bbc,0.12440166446119184,-0.14444930883632226
39,be,0.17979082920946435,-0.26803677484628663
40,becoming,0.2650336623786006,-0.14315906286598182
41,between,1.699034912418188,1.1294031248418215
42,blondie,0.4458942229640863,0.8200219627779826
43,blue,0.26028889569950237,0.1730872466538951
44,blues,0.4812745440443793,-0.2556253781232035
45,bny,0.3176639418221628,-0.010303676243954781
46,boat,1.4999983423214949,-0.9631293224317572
47,british,0.4458942229640863,0.8200219627779826
48,broadcast,0.23747912626610274,-0.16311020672293006
49,broadcasters,0.09108802094847553,-0.13476602492545642
50,but,0.5880121055850275,-0.29589028344654095
51,by,2.3323754558898426,-0.886649736490617
52,cambridge,2.1130056419687415,1.4219153571131893
53,canada,0.09108802094847553,-0.13476602492545642
54,cancer,0.3595816584189287,-0.5360735496925733
55,central,0.09108802094847553,-0.13476602492545642
56,champions,0.7202910283188768,-0.26340312603506927
57,championship,0.15135919143397786,-0.11226352145321186
58,charge,0.26028889569950237,0.1730872466538951
59,chiswick,0.2908206897418281,-0.22530867623985937
60,claimed,0.5880121055850275,-0.29589028344654095
61,clegg,0.26028889569950237,0.1730872466538951
62,competed,0.2908206897418281,-0.22530867623985937
63,competition,0.24063727202218965,-0.12781268906160176
64,course,1.0301919867608336,-0.6334624811396122
65,crew,0.5880121055850275,-0.29589028344654095
66,dark,0.24063727202218965,-0.12781268906160176
67,day,0.5880121055850275,-0.29589028344654095
68,dead,0.5880121055850275,-0.29589028344654095
69,donate,0.17979082920946435,-0.26803677484628663
70,ebu,0.09108802094847553,-0.13476602492545642
71,engineering,0.2650336623786006,-0.14315906286598182
72,europe,0.09108802094847553,-0.13476602492545642
73,event,0.7387348651476336,0.43413089516823655
74,ever,0.2650336623786006,-0.14315906286598182
75,excluding,0.5880121055850275,-0.29589028344654095
76,expected,0.2650336623786006,-0.14315906286598182
77,female,0.2650336623786006,-0.14315906286598182
78,fifteen,0.4458942229640863,0.8200219627779826
79,fifth,0.20073744576298524,-0.04608089883746851
80,first,1.295225649139434,-0.776621544005594
81,followed,0.12442931329201971,-0.04525591395947066
82,for,2.0322245497007465,2.1080729285582045
83,four,0.5880121055850275,-0.29589028344654095
84,fourth,0.1588319709110814,-0.005151838121977391
85,fox,0.09108802094847553,-0.13476602492545642
86,further,0.4458942229640863,0.8200219627779826
87,goldie,0.4458942229640863,0.8200219627779826
88,great,0.4458942229640863,0.8200219627779826
89,had,0.20073744576298524,-0.04608089883746851
90,half,0.5781731456979355,0.8525091201894542
91,harris,0.20073744576298524,-0.04608089883746851
92,having,0.7202910283188768,-0.26340312603506927
93,he,0.26028889569950237,0.1730872466538951
94,heat,0.5880121055850275,-0.29589028344654095
95,held,1.0301919867608336,-0.6334624811396122
96,henley,0.2908206897418281,-0.22530867623985937
97,history,0.5880121055850275,-0.29589028344654095
98,honour,0.12442931329201971,-0.04525591395947066
99,hour,0.4458942229640863,0.8200219627779826
100,in,2.6687037891791277,-1.3263642018230206
101,inaugural,0.20073744576298524,-0.04608089883746851
102,including,0.09108802094847553,-0.13476602492545642
103,interwar,0.2908206897418281,-0.22530867623985937
104,into,0.7202910283188768,-0.26340312603506927
105,investment,0.1588319709110814,-0.005151838121977391
106,is,0.9353901215703154,0.6016974457974396
107,isis,0.4458942229640863,0.8200219627779826
108,it,1.3494783225377067,0.18424397445282145
109,january,0.17979082920946435,-0.26803677484628663
110,journalist,0.4458942229640863,0.8200219627779826
